timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775121082787,96,Call API,400,,SearchJuristic 6-1,text,false,,1049,468,1,2,https://sandbox.api.krungsri.net/bay/scuda/juristic/search,96,0,26
1775121082716,540,Call API,400,,GetJuristic 5-1,text,false,,1340,598,1,5,https://sandbox.api.krungsri.net/bay/scuda/juristic/get,540,0,27
1775121083040,485,Call API,400,,SearchIndividual 2-1,text,false,,727,457,1,7,https://sandbox.api.krungsri.net/bay/scuda/individual/search,485,0,34
1775121083099,480,Call API,400,,CreateJuristic 7-1,text,false,,1340,4609,1,7,https://sandbox.api.krungsri.net/bay/scuda/juristic/create,480,0,26
1775121083082,548,Call API,400,,GetJoint 9-1,text,false,,1340,595,1,6,https://sandbox.api.krungsri.net/bay/scuda/joint/get,548,0,26
1775121083372,429,Call API,400,,CreateIndividual 3-1,text,false,,1340,5063,1,9,https://sandbox.api.krungsri.net/bay/scuda/individual/create,429,0,25
1775121083228,575,Call API,400,,UpdateJuristic 8-1,text,false,,1340,2738,1,10,https://sandbox.api.krungsri.net/bay/scuda/juristic/update,575,0,26
1775121083665,177,Call API,400,,GetJuristic 5-2,text,false,,1340,598,1,9,https://sandbox.api.krungsri.net/bay/scuda/juristic/get,177,0,11
1775121083578,283,Call API,400,,GetIndividual 1-1,text,false,,1340,653,2,9,https://sandbox.api.krungsri.net/bay/scuda/individual/get,283,0,25
1775121083808,77,Call API,400,,CreateIndividual 3-1,text,false,,1049,5118,1,8,https://sandbox.api.krungsri.net/bay/scuda/individual/create,77,0,0
1775121083532,387,Call API,400,,UpdateIndividual 4-1,text,false,,1352,2551,2,8,https://sandbox.api.krungsri.net/bay/scuda/individual/update,387,0,27
1775121083701,296,Call API,400,,CreateJuristic 7-2,text,false,,1340,4740,1,8,https://sandbox.api.krungsri.net/bay/scuda/juristic/create,296,0,12
1775121083498,558,Call API,400,,SearchJoint 10-1,text,false,,727,457,1,7,https://sandbox.api.krungsri.net/bay/scuda/joint/search,558,0,31
1775121083774,362,Call API,400,,GetIndividual 1-2,text,false,,1340,653,1,6,https://sandbox.api.krungsri.net/bay/scuda/individual/get,362,0,26
1775121083891,248,Call API,400,,CreateIndividual 3-1,text,false,,1340,5352,1,6,https://sandbox.api.krungsri.net/bay/scuda/individual/create,248,0,0
1775121083997,171,Call API,400,,UpdateJuristic 8-2,text,false,,1340,2916,1,5,https://sandbox.api.krungsri.net/bay/scuda/juristic/update,171,0,12
1775121083856,315,Call API,400,,SearchIndividual 2-2,text,false,,727,451,1,5,https://sandbox.api.krungsri.net/bay/scuda/individual/search,314,0,13
1775121083782,483,Call API,400,,UpdateIndividual 4-2,text,false,,1352,2572,1,5,https://sandbox.api.krungsri.net/bay/scuda/individual/update,482,0,30
1775121084227,78,Call API,400,,SearchJoint 10-2,text,false,,1049,460,1,4,https://sandbox.api.krungsri.net/bay/scuda/joint/search,78,0,11
1775121084207,102,Call API,400,,CreateIndividual 3-2,text,false,,1049,5364,2,4,https://sandbox.api.krungsri.net/bay/scuda/individual/create,102,0,32
1775121083805,534,Call API,400,,GetJoint 9-2,text,false,,1340,595,1,3,https://sandbox.api.krungsri.net/bay/scuda/joint/get,534,0,11
1775121084144,254,Call API,400,,CreateIndividual 3-1,text,false,,1340,5545,2,2,https://sandbox.api.krungsri.net/bay/scuda/individual/create,254,0,0
1775121084319,162,Call API,400,,CreateIndividual 3-2,text,false,,1340,5289,2,2,https://sandbox.api.krungsri.net/bay/scuda/individual/create,162,0,0
1775121084404,226,Call API,400,,CreateIndividual 3-1,text,false,,1340,5530,2,4,https://sandbox.api.krungsri.net/bay/scuda/individual/create,226,0,0
1775121084608,183,Call API,400,,CreateJuristic 7-3,text,false,,1340,4764,1,5,https://sandbox.api.krungsri.net/bay/scuda/juristic/create,183,0,9
1775121084485,369,Call API,400,,CreateIndividual 3-2,text,false,,1340,5517,2,4,https://sandbox.api.krungsri.net/bay/scuda/individual/create,369,0,0
1775121084751,174,Call API,400,,GetIndividual 1-3,text,false,,1340,653,1,6,https://sandbox.api.krungsri.net/bay/scuda/individual/get,174,0,12
1775121084862,75,Call API,400,,CreateIndividual 3-2,text,false,,1049,5055,2,5,https://sandbox.api.krungsri.net/bay/scuda/individual/create,75,0,0
1775121084914,75,Call API,400,,GetJoint 9-3,text,false,,1049,598,1,7,https://sandbox.api.krungsri.net/bay/scuda/joint/get,75,0,12
1775121084635,355,Call API,400,,CreateIndividual 3-1,text,false,,1340,5578,3,7,https://sandbox.api.krungsri.net/bay/scuda/individual/create,355,0,0
1775121084562,514,Call API,400,,SearchJuristic 6-2,text,false,,727,460,1,6,https://sandbox.api.krungsri.net/bay/scuda/juristic/search,514,0,26
1775121084979,99,Call API,400,,CreateIndividual 3-3,text,false,,1049,5471,3,6,https://sandbox.api.krungsri.net/bay/scuda/individual/create,99,0,26
1775121084996,167,Call API,400,,CreateIndividual 3-1,text,false,,1340,5012,3,7,https://sandbox.api.krungsri.net/bay/scuda/individual/create,167,0,0
1775121084880,283,Call API,400,,SearchIndividual 2-3,text,false,,727,463,1,7,https://sandbox.api.krungsri.net/bay/scuda/individual/search,283,0,13
