timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775122642353,419,Call API,200,,GetJoint 9-2,text,true,,1571,611,2,17,https://sandbox.api.krungsri.net/bay/scuda/joint/get,419,0,31
1775122642041,717,Call API,200,,GetIndividual 1-1,text,true,,3958,669,2,17,https://sandbox.api.krungsri.net/bay/scuda/individual/get,714,0,313
1775122642041,739,Call API,200,,GetJuristic 5-1,text,true,,3479,614,2,17,https://sandbox.api.krungsri.net/bay/scuda/juristic/get,739,0,316
1775122642099,698,Call API,200,,GetJoint 9-1,text,true,,1566,611,2,17,https://sandbox.api.krungsri.net/bay/scuda/joint/get,698,0,258
1775122642235,660,Call API,200,,UpdateJuristic 8-1,text,true,,850,2833,1,13,https://sandbox.api.krungsri.net/bay/scuda/juristic/update,660,0,120
1775122642235,661,Call API,200,,UpdateIndividual 4-1,text,true,,850,2524,2,12,https://sandbox.api.krungsri.net/bay/scuda/individual/update,661,0,120
1775122642226,675,Call API,201,,CreateIndividual 3-1,text,true,,850,5464,2,11,https://sandbox.api.krungsri.net/bay/scuda/individual/create,675,0,128
1775122642221,685,Call API,201,,CreateJuristic 7-1,text,true,,850,4862,2,10,https://sandbox.api.krungsri.net/bay/scuda/juristic/create,685,0,133
1775122642280,650,Call API,201,,CreateJuristic 7-2,text,true,,850,4682,1,9,https://sandbox.api.krungsri.net/bay/scuda/juristic/create,650,0,77
1775122642334,612,Call API,201,,CreateIndividual 3-2,text,true,,850,5174,1,8,https://sandbox.api.krungsri.net/bay/scuda/individual/create,612,0,32
1775122642041,969,Call API,200,OK,SearchJoint 10-1,text,true,,722,496,1,8,https://sandbox.api.krungsri.net/bay/scuda/joint/search,969,0,313
1775122642041,985,Call API,200,OK,SearchIndividual 2-1,text,true,,722,482,2,8,https://sandbox.api.krungsri.net/bay/scuda/individual/search,985,0,313
1775122642260,798,Call API,200,OK,SearchJuristic 6-2,text,true,,722,470,2,9,https://sandbox.api.krungsri.net/bay/scuda/juristic/search,798,0,94
1775122642041,1042,Call API,200,OK,SearchJuristic 6-1,text,true,,722,475,1,8,https://sandbox.api.krungsri.net/bay/scuda/juristic/search,1042,0,313
1775122642696,481,Call API,200,,GetJuristic 5-2,text,true,,3476,614,1,7,https://sandbox.api.krungsri.net/bay/scuda/juristic/get,481,0,32
1775122642696,493,Call API,200,,GetIndividual 1-2,text,true,,3932,669,1,6,https://sandbox.api.krungsri.net/bay/scuda/individual/get,492,0,32
1775122642754,514,Call API,200,,UpdateIndividual 4-2,text,true,,850,2545,1,6,https://sandbox.api.krungsri.net/bay/scuda/individual/update,514,0,29
1775122643015,318,Call API,200,OK,SearchJoint 10-2,text,true,,722,496,1,5,https://sandbox.api.krungsri.net/bay/scuda/joint/search,318,0,24
1775122642961,415,Call API,200,OK,SearchIndividual 2-2,text,true,,722,482,2,5,https://sandbox.api.krungsri.net/bay/scuda/individual/search,415,0,28
1775122643048,444,Call API,200,,UpdateJuristic 8-2,text,true,,850,2967,2,6,https://sandbox.api.krungsri.net/bay/scuda/juristic/update,444,0,16
1775122643064,487,Call API,200,,UpdateJoint 12-2,text,true,,850,695,2,5,https://sandbox.api.krungsri.net/bay/scuda/joint/update,487,0,27
