timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776677185624,1008,NewBrowser,200,,ID-39,text,true,,0,0,0,3,,1008,0,0
1776677188757,3133,NewBrowser,200,,ID-24,text,true,,0,0,0,4,,3133,0,0
1776677192370,3612,NewBrowser,200,,ID-40,text,true,,0,0,0,4,,3612,0,0
1776677195569,3198,NewBrowser,200,,ID-48,text,true,,0,0,0,11,,3198,0,0
1776677199739,4168,NewBrowser,200,,ID-64,text,true,,0,0,0,14,,4168,0,0
1776677202772,3032,NewBrowser,200,,ID-58,text,true,,0,0,0,14,,3032,0,0
1776677208538,5763,NewBrowser,200,,ID-61,text,true,,0,0,0,14,,5763,0,0
1776677213222,4683,NewBrowser,200,,ID-54,text,true,,0,0,0,14,,4683,0,0
1776677216930,3707,NewBrowser,200,,ID-53,text,true,,0,0,0,14,,3707,0,0
1776677221175,4245,NewBrowser,200,,ID-57,text,true,,0,0,0,14,,4245,0,0
1776677225656,4480,NewBrowser,200,,ID-59,text,true,,0,0,0,14,,4480,0,0
1776677231638,5981,NewBrowser,200,,ID-81,text,true,,0,0,0,32,,5981,0,0
1776677235973,4334,NewBrowser,200,,ID-82,text,true,,0,0,0,32,,4334,0,0
1776677240130,4157,NewBrowser,200,,ID-79,text,true,,0,0,0,32,,4157,0,0
1776677244042,3911,NewBrowser,200,,ID-92,text,true,,0,0,0,32,,3911,0,0
1776677247584,3541,NewBrowser,200,,ID-105,text,true,,0,0,0,32,,3541,0,0
1776677251195,3611,NewBrowser,200,,ID-96,text,true,,0,0,0,32,,3611,0,0
1776677253994,2798,NewBrowser,200,,ID-94,text,true,,0,0,0,32,,2798,0,0
1776677258266,4272,NewBrowser,200,,ID-93,text,true,,0,0,0,32,,4272,0,0
1776677261873,3606,NewBrowser,200,,ID-99,text,true,,0,0,0,32,,3606,0,0
1776677265336,3462,NewBrowser,200,,ID-98,text,true,,0,0,0,32,,3462,0,0
1776677265336,39372,SignIn,200,,ID-39,text,true,,0,0,0,32,?client-request-id=a9d14ae9-2f03-40b4-9682-5dab230,39372,0,0
1776677270828,5492,NewBrowser,200,,ID-95,text,true,,0,0,0,32,,5492,0,0
1776677276631,225,SearchIndividualProfile.Cis,200,,ID-39,text,true,,0,0,0,32,main-individual-list,225,0,0
1776677278349,7521,NewBrowser,200,,ID-100,text,true,,0,0,0,32,,7521,0,0
1776677282850,17337,SignIn,200,,ID-40,text,true,,0,0,0,32,?client-request-id=eeee61ee-1cfd-40e9-a694-f13288d,17337,0,0
1776677284536,19037,SignIn,200,,ID-24,text,true,,0,0,0,32,?client-request-id=84ae1e1d-21c2-4408-b26c-bcd7a3c,19037,0,0
1776677288124,214,SearchJuristicProfile.Cis,200,,ID-40,text,true,,0,0,0,32,main-juristic-list,214,0,0
1776677288156,9806,NewBrowser,200,,ID-97,text,true,,0,0,0,32,,9806,0,0
1776677289607,18619,SignIn,200,,ID-61,text,true,,0,0,0,32,?client-request-id=0804f7d7-6c29-4fc0-b048-3ea5ead,18619,0,0
1776677289839,223,SearchIndividualProfile.Cis,200,,ID-24,text,true,,0,0,0,32,main-individual-list,223,0,0
1776677290105,19106,SignIn,200,,ID-53,text,true,,0,0,0,32,?client-request-id=4eede792-5020-46f1-a223-097ffd2,19106,0,0
1776677291439,182,SearchJuristicProfile.ENJuristName,200,,ID-40,text,true,,0,0,0,32,main-juristic-list,182,0,0
1776677294044,5886,NewBrowser,200,,ID-101,text,true,,0,0,0,32,,5886,0,0
1776677295216,24226,SignIn,200,,ID-58,text,true,,0,0,0,32,?client-request-id=6950633b-82a3-4442-a673-5c29414,24226,0,0
1776677295218,20894,SignIn,200,,ID-54,text,true,,0,0,0,32,?client-request-id=9b650df2-bddc-4e24-8e10-6055473,20894,0,0
1776677295606,199,SearchJuristicProfile.THJuristName,200,,ID-40,text,true,,0,0,0,32,main-juristic-list,199,0,0
1776677295641,235,SearchIndividualProfile.Cis,200,,ID-61,text,true,,0,0,0,32,main-individual-list,235,0,0
1776677295953,260,SearchIndividualProfile.Cis,200,,ID-53,text,true,,0,0,0,32,main-individual-list,260,0,0
1776677298032,27018,SignIn,200,,ID-64,text,true,,0,0,0,32,?client-request-id=7f6f2c0d-1778-4189-8ae0-3a527d1,27018,0,0
1776677298169,23906,SignIn,200,,ID-57,text,true,,0,0,0,32,?client-request-id=4cc2d64f-34aa-4211-88a7-d40d8ca,23906,0,0
1776677299008,27984,SignIn,200,,ID-48,text,true,,0,0,0,32,?client-request-id=e6c421c2-0e48-411d-81d8-4fa7cad,27984,0,0
1776677300137,204,SearchIndividualProfile.ENFirstName,200,,ID-53,text,true,,0,0,0,32,main-individual-list,204,0,0
